id,code,codeType,category,severity,applicableRegions,applicableBrands,title,description,causes,actions,url
b1218,B1218,manufacturer_specific,body,warning,US|EU|Global,,B1218 - Horn Relay Coil Circuit Short to Vbatt,"Fault code B1218 means ""Horn Relay Coil Circuit Short to Vbatt"". It is a manufacturer-specific diagnostic trouble code (DTC) in the body electronics system, classified as ""body"" with a severity level of ""warning"". This code indicates a condition that should be addressed soon. Schedule a diagnostic appointment within the next few days to prevent further damage. This code is defined by the SAE J2012 / ISO 15031-6 standard and applies to OBD-II compliant vehicles sold in the US, EU, and other global markets.",Electrical connector corrosion or damage|Control module communication error|Switch or actuator failure|Wiring short circuit or open circuit,Schedule service as soon as possible|Inspect the affected electrical component and its wiring|Check for water intrusion in connector areas,https://evfaultcode.com/en/common/b1218/
b1219,B1219,manufacturer_specific,body,warning,US|EU|Global,,B1219 - Fuel Tank Pressure Sensor Circuit Failure,"Fault code B1219 means ""Fuel Tank Pressure Sensor Circuit Failure"". It is a manufacturer-specific diagnostic trouble code (DTC) in the body electronics system, classified as ""body"" with a severity level of ""warning"". This code indicates a condition that should be addressed soon. Schedule a diagnostic appointment within the next few days to prevent further damage. This code is defined by the SAE J2012 / ISO 15031-6 standard and applies to OBD-II compliant vehicles sold in the US, EU, and other global markets.",Electrical connector corrosion or damage|Control module communication error|Switch or actuator failure|Wiring short circuit or open circuit,Schedule service as soon as possible|Inspect the affected electrical component and its wiring|Check for water intrusion in connector areas,https://evfaultcode.com/en/common/b1219/
b1220,B1220,manufacturer_specific,body,warning,US|EU|Global,,B1220 - Fuel Tank Pressure Sensor Circuit Open,"Fault code B1220 means ""Fuel Tank Pressure Sensor Circuit Open"". It is a manufacturer-specific diagnostic trouble code (DTC) in the body electronics system, classified as ""body"" with a severity level of ""warning"". This code indicates a condition that should be addressed soon. Schedule a diagnostic appointment within the next few days to prevent further damage. This code is defined by the SAE J2012 / ISO 15031-6 standard and applies to OBD-II compliant vehicles sold in the US, EU, and other global markets.",Electrical connector corrosion or damage|Control module communication error|Switch or actuator failure|Wiring short circuit or open circuit,Schedule service as soon as possible|Inspect the affected electrical component and its wiring|Check for water intrusion in connector areas,https://evfaultcode.com/en/common/b1220/
b1222,B1222,manufacturer_specific,body,warning,US|EU|Global,,B1222 - Fuel Temperature Sensor #1 Circuit Failure,"Fault code B1222 means ""Fuel Temperature Sensor #1 Circuit Failure"". It is a manufacturer-specific diagnostic trouble code (DTC) in the body electronics system, classified as ""body"" with a severity level of ""warning"". This code indicates a condition that should be addressed soon. Schedule a diagnostic appointment within the next few days to prevent further damage. This code is defined by the SAE J2012 / ISO 15031-6 standard and applies to OBD-II compliant vehicles sold in the US, EU, and other global markets.",Electrical connector corrosion or damage|Control module communication error|Switch or actuator failure|Wiring short circuit or open circuit,Schedule service as soon as possible|Inspect the affected electrical component and its wiring|Check for water intrusion in connector areas,https://evfaultcode.com/en/common/b1222/
b1223,B1223,manufacturer_specific,body,warning,US|EU|Global,,B1223 - Fuel Temperature Sensor #1 Circuit Open,"Fault code B1223 means ""Fuel Temperature Sensor #1 Circuit Open"". It is a manufacturer-specific diagnostic trouble code (DTC) in the body electronics system, classified as ""body"" with a severity level of ""warning"". This code indicates a condition that should be addressed soon. Schedule a diagnostic appointment within the next few days to prevent further damage. This code is defined by the SAE J2012 / ISO 15031-6 standard and applies to OBD-II compliant vehicles sold in the US, EU, and other global markets.",Electrical connector corrosion or damage|Control module communication error|Switch or actuator failure|Wiring short circuit or open circuit,Schedule service as soon as possible|Inspect the affected electrical component and its wiring|Check for water intrusion in connector areas,https://evfaultcode.com/en/common/b1223/
b1224,B1224,manufacturer_specific,body,warning,US|EU|Global,,B1224 - Fuel Temperature Sensor #1 Circuit Short to Battery,"Fault code B1224 means ""Fuel Temperature Sensor #1 Circuit Short to Battery"". It is a manufacturer-specific diagnostic trouble code (DTC) in the body electronics system, classified as ""body"" with a severity level of ""warning"". This code indicates a condition that should be addressed soon. Schedule a diagnostic appointment within the next few days to prevent further damage. This code is defined by the SAE J2012 / ISO 15031-6 standard and applies to OBD-II compliant vehicles sold in the US, EU, and other global markets.",Electrical connector corrosion or damage|Control module communication error|Switch or actuator failure|Wiring short circuit or open circuit,Schedule service as soon as possible|Inspect the affected electrical component and its wiring|Check for water intrusion in connector areas,https://evfaultcode.com/en/common/b1224/
b1225,B1225,manufacturer_specific,body,warning,US|EU|Global,,B1225 - Fuel Temperature Sensor #1 Circuit Short to Ground,"Fault code B1225 means ""Fuel Temperature Sensor #1 Circuit Short to Ground"". It is a manufacturer-specific diagnostic trouble code (DTC) in the body electronics system, classified as ""body"" with a severity level of ""warning"". This code indicates a condition that should be addressed soon. Schedule a diagnostic appointment within the next few days to prevent further damage. This code is defined by the SAE J2012 / ISO 15031-6 standard and applies to OBD-II compliant vehicles sold in the US, EU, and other global markets.",Electrical connector corrosion or damage|Control module communication error|Switch or actuator failure|Wiring short circuit or open circuit,Schedule service as soon as possible|Inspect the affected electrical component and its wiring|Check for water intrusion in connector areas,https://evfaultcode.com/en/common/b1225/
b1226,B1226,manufacturer_specific,body,warning,US|EU|Global,,B1226 - Fuel Temperature Sensor #2 Circuit Failure,"Fault code B1226 means ""Fuel Temperature Sensor #2 Circuit Failure"". It is a manufacturer-specific diagnostic trouble code (DTC) in the body electronics system, classified as ""body"" with a severity level of ""warning"". This code indicates a condition that should be addressed soon. Schedule a diagnostic appointment within the next few days to prevent further damage. This code is defined by the SAE J2012 / ISO 15031-6 standard and applies to OBD-II compliant vehicles sold in the US, EU, and other global markets.",Electrical connector corrosion or damage|Control module communication error|Switch or actuator failure|Wiring short circuit or open circuit,Schedule service as soon as possible|Inspect the affected electrical component and its wiring|Check for water intrusion in connector areas,https://evfaultcode.com/en/common/b1226/
b1227,B1227,manufacturer_specific,body,warning,US|EU|Global,,B1227 - Fuel Temperature Sensor #2 Circuit Open,"Fault code B1227 means ""Fuel Temperature Sensor #2 Circuit Open"". It is a manufacturer-specific diagnostic trouble code (DTC) in the body electronics system, classified as ""body"" with a severity level of ""warning"". This code indicates a condition that should be addressed soon. Schedule a diagnostic appointment within the next few days to prevent further damage. This code is defined by the SAE J2012 / ISO 15031-6 standard and applies to OBD-II compliant vehicles sold in the US, EU, and other global markets.",Electrical connector corrosion or damage|Control module communication error|Switch or actuator failure|Wiring short circuit or open circuit,Schedule service as soon as possible|Inspect the affected electrical component and its wiring|Check for water intrusion in connector areas,https://evfaultcode.com/en/common/b1227/
b1228,B1228,manufacturer_specific,body,warning,US|EU|Global,,B1228 - Fuel Temperature Sensor #2 Circuit Short to Battery,"Fault code B1228 means ""Fuel Temperature Sensor #2 Circuit Short to Battery"". It is a manufacturer-specific diagnostic trouble code (DTC) in the body electronics system, classified as ""body"" with a severity level of ""warning"". This code indicates a condition that should be addressed soon. Schedule a diagnostic appointment within the next few days to prevent further damage. This code is defined by the SAE J2012 / ISO 15031-6 standard and applies to OBD-II compliant vehicles sold in the US, EU, and other global markets.",Electrical connector corrosion or damage|Control module communication error|Switch or actuator failure|Wiring short circuit or open circuit,Schedule service as soon as possible|Inspect the affected electrical component and its wiring|Check for water intrusion in connector areas,https://evfaultcode.com/en/common/b1228/
b1229,B1229,manufacturer_specific,body,warning,US|EU|Global,,B1229 - Fuel Temperature Sensor #2 Circuit Short to Ground,"Fault code B1229 means ""Fuel Temperature Sensor #2 Circuit Short to Ground"". It is a manufacturer-specific diagnostic trouble code (DTC) in the body electronics system, classified as ""body"" with a severity level of ""warning"". This code indicates a condition that should be addressed soon. Schedule a diagnostic appointment within the next few days to prevent further damage. This code is defined by the SAE J2012 / ISO 15031-6 standard and applies to OBD-II compliant vehicles sold in the US, EU, and other global markets.",Electrical connector corrosion or damage|Control module communication error|Switch or actuator failure|Wiring short circuit or open circuit,Schedule service as soon as possible|Inspect the affected electrical component and its wiring|Check for water intrusion in connector areas,https://evfaultcode.com/en/common/b1229/
b1231,B1231,manufacturer_specific,body,caution,US|EU|Global,,B1231 - Longitudinal Acceleration Threshold Exceeded,"Fault code B1231 means ""Longitudinal Acceleration Threshold Exceeded"". It is a manufacturer-specific diagnostic trouble code (DTC) in the body electronics system, classified as ""body"" with a severity level of ""caution"". This is a lower-severity code that should be monitored. Have it checked at your next regular service appointment. This code is defined by the SAE J2012 / ISO 15031-6 standard and applies to OBD-II compliant vehicles sold in the US, EU, and other global markets.",Electrical connector corrosion or damage|Control module communication error|Switch or actuator failure|Wiring short circuit or open circuit,Monitor the situation and service at your next scheduled visit|Inspect the affected electrical component and its wiring|Check for water intrusion in connector areas,https://evfaultcode.com/en/common/b1231/
b1232,B1232,manufacturer_specific,body,caution,US|EU|Global,,B1232 - See Manufacturer,"Fault code B1232 means ""See Manufacturer"". It is a manufacturer-specific diagnostic trouble code (DTC) in the body electronics system, classified as ""body"" with a severity level of ""caution"". This is a lower-severity code that should be monitored. Have it checked at your next regular service appointment. This code is defined by the SAE J2012 / ISO 15031-6 standard and applies to OBD-II compliant vehicles sold in the US, EU, and other global markets.",Electrical connector corrosion or damage|Control module communication error|Switch or actuator failure|Wiring short circuit or open circuit,Monitor the situation and service at your next scheduled visit|Inspect the affected electrical component and its wiring|Check for water intrusion in connector areas,https://evfaultcode.com/en/common/b1232/
b1233,B1233,manufacturer_specific,body,warning,US|EU|Global,,B1233 - Glass Break Sensor Failure,"Fault code B1233 means ""Glass Break Sensor Failure"". It is a manufacturer-specific diagnostic trouble code (DTC) in the body electronics system, classified as ""body"" with a severity level of ""warning"". This code indicates a condition that should be addressed soon. Schedule a diagnostic appointment within the next few days to prevent further damage. This code is defined by the SAE J2012 / ISO 15031-6 standard and applies to OBD-II compliant vehicles sold in the US, EU, and other global markets.",Electrical connector corrosion or damage|Control module communication error|Switch or actuator failure|Wiring short circuit or open circuit,Schedule service as soon as possible|Inspect the affected electrical component and its wiring|Check for water intrusion in connector areas,https://evfaultcode.com/en/common/b1233/
b1234,B1234,manufacturer_specific,body,caution,US|EU|Global,,B1234 - Mirror Switch Invalid Code,"Fault code B1234 means ""Mirror Switch Invalid Code"". It is a manufacturer-specific diagnostic trouble code (DTC) in the body electronics system, classified as ""body"" with a severity level of ""caution"". This is a lower-severity code that should be monitored. Have it checked at your next regular service appointment. This code is defined by the SAE J2012 / ISO 15031-6 standard and applies to OBD-II compliant vehicles sold in the US, EU, and other global markets.",Electrical connector corrosion or damage|Control module communication error|Switch or actuator failure|Wiring short circuit or open circuit,Monitor the situation and service at your next scheduled visit|Inspect the affected electrical component and its wiring|Check for water intrusion in connector areas,https://evfaultcode.com/en/common/b1234/
b1235,B1235,manufacturer_specific,body,warning,US|EU|Global,,B1235 - Window Feedback Failure,"Fault code B1235 means ""Window Feedback Failure"". It is a manufacturer-specific diagnostic trouble code (DTC) in the body electronics system, classified as ""body"" with a severity level of ""warning"". This code indicates a condition that should be addressed soon. Schedule a diagnostic appointment within the next few days to prevent further damage. This code is defined by the SAE J2012 / ISO 15031-6 standard and applies to OBD-II compliant vehicles sold in the US, EU, and other global markets.",Electrical connector corrosion or damage|Control module communication error|Switch or actuator failure|Wiring short circuit or open circuit,Schedule service as soon as possible|Inspect the affected electrical component and its wiring|Check for water intrusion in connector areas,https://evfaultcode.com/en/common/b1235/
b1236,B1236,manufacturer_specific,body,caution,US|EU|Global,,B1236 - Window Feedback Loss of Signal,"Fault code B1236 means ""Window Feedback Loss of Signal"". It is a manufacturer-specific diagnostic trouble code (DTC) in the body electronics system, classified as ""body"" with a severity level of ""caution"". This is a lower-severity code that should be monitored. Have it checked at your next regular service appointment. This code is defined by the SAE J2012 / ISO 15031-6 standard and applies to OBD-II compliant vehicles sold in the US, EU, and other global markets.",Electrical connector corrosion or damage|Control module communication error|Switch or actuator failure|Wiring short circuit or open circuit,Monitor the situation and service at your next scheduled visit|Inspect the affected electrical component and its wiring|Check for water intrusion in connector areas,https://evfaultcode.com/en/common/b1236/
b1237,B1237,manufacturer_specific,body,caution,US|EU|Global,,B1237 - Window Feedback Out of Range,"Fault code B1237 means ""Window Feedback Out of Range"". It is a manufacturer-specific diagnostic trouble code (DTC) in the body electronics system, classified as ""body"" with a severity level of ""caution"". This is a lower-severity code that should be monitored. Have it checked at your next regular service appointment. This code is defined by the SAE J2012 / ISO 15031-6 standard and applies to OBD-II compliant vehicles sold in the US, EU, and other global markets.",Electrical connector corrosion or damage|Control module communication error|Switch or actuator failure|Wiring short circuit or open circuit,Monitor the situation and service at your next scheduled visit|Inspect the affected electrical component and its wiring|Check for water intrusion in connector areas,https://evfaultcode.com/en/common/b1237/
b1238,B1238,manufacturer_specific,body,caution,US|EU|Global,,B1238 - Over Temperature Fault,"Fault code B1238 means ""Over Temperature Fault"". It is a manufacturer-specific diagnostic trouble code (DTC) in the body electronics system, classified as ""body"" with a severity level of ""caution"". This is a lower-severity code that should be monitored. Have it checked at your next regular service appointment. This code is defined by the SAE J2012 / ISO 15031-6 standard and applies to OBD-II compliant vehicles sold in the US, EU, and other global markets.",Electrical connector corrosion or damage|Control module communication error|Switch or actuator failure|Wiring short circuit or open circuit,Monitor the situation and service at your next scheduled visit|Inspect the affected electrical component and its wiring|Check for water intrusion in connector areas,https://evfaultcode.com/en/common/b1238/
b1239,B1239,manufacturer_specific,body,warning,US|EU|Global,,B1239 - Air Flow Blend Door Driver Circuit Failure,"Fault code B1239 means ""Air Flow Blend Door Driver Circuit Failure"". It is a manufacturer-specific diagnostic trouble code (DTC) in the body electronics system, classified as ""body"" with a severity level of ""warning"". This code indicates a condition that should be addressed soon. Schedule a diagnostic appointment within the next few days to prevent further damage. This code is defined by the SAE J2012 / ISO 15031-6 standard and applies to OBD-II compliant vehicles sold in the US, EU, and other global markets.",Electrical connector corrosion or damage|Control module communication error|Switch or actuator failure|Wiring short circuit or open circuit,Schedule service as soon as possible|Inspect the affected electrical component and its wiring|Check for water intrusion in connector areas,https://evfaultcode.com/en/common/b1239/
b1240,B1240,manufacturer_specific,body,warning,US|EU|Global,,B1240 - Wiper Washer Rear Pump Relay Circuit Failure,"Fault code B1240 means ""Wiper Washer Rear Pump Relay Circuit Failure"". It is a manufacturer-specific diagnostic trouble code (DTC) in the body electronics system, classified as ""body"" with a severity level of ""warning"". This code indicates a condition that should be addressed soon. Schedule a diagnostic appointment within the next few days to prevent further damage. This code is defined by the SAE J2012 / ISO 15031-6 standard and applies to OBD-II compliant vehicles sold in the US, EU, and other global markets.",Electrical connector corrosion or damage|Control module communication error|Switch or actuator failure|Wiring short circuit or open circuit,Schedule service as soon as possible|Inspect the affected electrical component and its wiring|Check for water intrusion in connector areas,https://evfaultcode.com/en/common/b1240/
