id,code,fullName,system,systemName,alertType,alertTypeCode,number,descriptiveName,category,severity,hasDescription,originalDescription,title,description,url
adsp-w028,ADSP_w028,ADSP_w028_ethTcpErr,ADSP,Audio DSP,warning,w,028,ethTcpErr,network,warning,true,ETH TCP error,ADSP_w028 - eth Tcp Err,Tesla warning code in the Audio DSP (ADSP) module. ETH TCP error,https://evfaultcode.com/en/tesla/alerts/adsp-w028/
adsp-w029,ADSP_w029,ADSP_w029_baseamp0SmFault,ADSP,Audio DSP,warning,w,029,baseamp0SmFault,network,warning,false,,ADSP_w029 - baseamp0Sm Fault,Tesla warning code in the Audio DSP (ADSP) module related to baseamp0sm fault.,https://evfaultcode.com/en/tesla/alerts/adsp-w029/
adsp-w030,ADSP_w030,ADSP_w030_ethSysErr,ADSP,Audio DSP,warning,w,030,ethSysErr,network,warning,true,ETH SYS error,ADSP_w030 - eth Sys Err,Tesla warning code in the Audio DSP (ADSP) module. ETH SYS error,https://evfaultcode.com/en/tesla/alerts/adsp-w030/
adsp-w031,ADSP_w031,ADSP_w031_baseamp1SmFault,ADSP,Audio DSP,warning,w,031,baseamp1SmFault,network,warning,false,,ADSP_w031 - baseamp1Sm Fault,Tesla warning code in the Audio DSP (ADSP) module related to baseamp1sm fault.,https://evfaultcode.com/en/tesla/alerts/adsp-w031/
adsp-w032,ADSP_w032,ADSP_w032_baseamp2SmFault,ADSP,Audio DSP,warning,w,032,baseamp2SmFault,network,warning,false,,ADSP_w032 - baseamp2Sm Fault,Tesla warning code in the Audio DSP (ADSP) module related to baseamp2sm fault.,https://evfaultcode.com/en/tesla/alerts/adsp-w032/
adsp-w033,ADSP_w033,ADSP_w033_a2baDiscoveryFailed,ADSP,Audio DSP,warning,w,033,a2baDiscoveryFailed,network,warning,true,A2B-A discovery failed,ADSP_w033 - a2ba Discovery Failed,Tesla warning code in the Audio DSP (ADSP) module. A2B-A discovery failed,https://evfaultcode.com/en/tesla/alerts/adsp-w033/
adsp-w034,ADSP_w034,ADSP_w034_a2bbDiscoveryFailed,ADSP,Audio DSP,warning,w,034,a2bbDiscoveryFailed,network,warning,true,A2B-B discovery failed,ADSP_w034 - a2bb Discovery Failed,Tesla warning code in the Audio DSP (ADSP) module. A2B-B discovery failed,https://evfaultcode.com/en/tesla/alerts/adsp-w034/
adsp-w035,ADSP_w035,ADSP_w035_a2baFault,ADSP,Audio DSP,warning,w,035,a2baFault,network,warning,true,A2B-A fault,ADSP_w035 - a2ba Fault,Tesla warning code in the Audio DSP (ADSP) module. A2B-A fault,https://evfaultcode.com/en/tesla/alerts/adsp-w035/
adsp-w036,ADSP_w036,ADSP_w036_a2bbFault,ADSP,Audio DSP,warning,w,036,a2bbFault,network,warning,true,A2B-B fault,ADSP_w036 - a2bb Fault,Tesla warning code in the Audio DSP (ADSP) module. A2B-B fault,https://evfaultcode.com/en/tesla/alerts/adsp-w036/
adsp-w037,ADSP_w037,ADSP_w037_a2baIdleFailed,ADSP,Audio DSP,warning,w,037,a2baIdleFailed,network,warning,true,A2B-A idle failed,ADSP_w037 - a2ba Idle Failed,Tesla warning code in the Audio DSP (ADSP) module. A2B-A idle failed,https://evfaultcode.com/en/tesla/alerts/adsp-w037/
adsp-w038,ADSP_w038,ADSP_w038_a2bbIdleFailed,ADSP,Audio DSP,warning,w,038,a2bbIdleFailed,network,warning,true,A2B-B idle failed,ADSP_w038 - a2bb Idle Failed,Tesla warning code in the Audio DSP (ADSP) module. A2B-B idle failed,https://evfaultcode.com/en/tesla/alerts/adsp-w038/
adsp-w039,ADSP_w039,ADSP_w039_ancPing,ADSP,Audio DSP,warning,w,039,ancPing,network,warning,true,ANC ping timed out,ADSP_w039 - anc Ping,Tesla warning code in the Audio DSP (ADSP) module. ANC ping timed out,https://evfaultcode.com/en/tesla/alerts/adsp-w039/
adsp-w040,ADSP_w040,ADSP_w040_socSciHeartbeat,ADSP,Audio DSP,warning,w,040,socSciHeartbeat,network,warning,true,SCI SoC heartbeat failed,ADSP_w040 - SOC Sci Heartbeat,Tesla warning code in the Audio DSP (ADSP) module. SCI SoC heartbeat failed,https://evfaultcode.com/en/tesla/alerts/adsp-w040/
adsp-w041,ADSP_w041,ADSP_w041_twiWriteError,ADSP,Audio DSP,warning,w,041,twiWriteError,network,warning,true,TWI write error,ADSP_w041 - twi Write Error,Tesla warning code in the Audio DSP (ADSP) module. TWI write error,https://evfaultcode.com/en/tesla/alerts/adsp-w041/
adsp-w042,ADSP_w042,ADSP_w042_twiReadError,ADSP,Audio DSP,warning,w,042,twiReadError,network,warning,true,TWI read error,ADSP_w042 - twi Read Error,Tesla warning code in the Audio DSP (ADSP) module. TWI read error,https://evfaultcode.com/en/tesla/alerts/adsp-w042/
adsp-w043,ADSP_w043,ADSP_w043_aweControlError,ADSP,Audio DSP,warning,w,043,aweControlError,network,warning,true,AWE control error,ADSP_w043 - awe Control Error,Tesla warning code in the Audio DSP (ADSP) module. AWE control error,https://evfaultcode.com/en/tesla/alerts/adsp-w043/
adsp-w044,ADSP_w044,ADSP_w044_canethChecksum,ADSP,Audio DSP,warning,w,044,canethChecksum,network,warning,true,Invalid caneth checksum,ADSP_w044 - caneth Checksum,Tesla warning code in the Audio DSP (ADSP) module. Invalid caneth checksum,https://evfaultcode.com/en/tesla/alerts/adsp-w044/
adsp-w045,ADSP_w045,ADSP_w045_ancEnableFail,ADSP,Audio DSP,warning,w,045,ancEnableFail,network,warning,true,Failed to enable ANC,ADSP_w045 - anc Enable Fail,Tesla warning code in the Audio DSP (ADSP) module. Failed to enable ANC,https://evfaultcode.com/en/tesla/alerts/adsp-w045/
adsp-w046,ADSP_w046,ADSP_w046_sharc0AweFrameOverload,ADSP,Audio DSP,warning,w,046,sharc0AweFrameOverload,network,warning,false,,ADSP_w046 - sharc0Awe Frame Overload,Tesla warning code in the Audio DSP (ADSP) module related to sharc0awe frame overload.,https://evfaultcode.com/en/tesla/alerts/adsp-w046/
adsp-w047,ADSP_w047,ADSP_w047_sharc1AweFrameOverload,ADSP,Audio DSP,warning,w,047,sharc1AweFrameOverload,network,warning,true,Base amplifier 0 state machine fault Base amplifier 2 state machine fault Base amplifier 1 state machine fault EAVB sequence number unexpected Diagnostic Stop Sign Warning alert,ADSP_w047 - sharc1Awe Frame Overload,Tesla warning code in the Audio DSP (ADSP) module. Base amplifier 0 state machine fault Base amplifier 2 state machine fault Base amplifier 1 state machine fault EAVB sequence number unexpected Diagnostic Stop Sign Warning alert,https://evfaultcode.com/en/tesla/alerts/adsp-w047/
app-w002,APP_w002,APP_w002_ldwDisabled,APP,Application Layer,warning,w,002,ldwDisabled,network,warning,false,,APP_w002 - ldw Disabled,Tesla warning code in the Application Layer (APP) module related to ldw disabled.,https://evfaultcode.com/en/tesla/alerts/app-w002/
app-w003,APP_w003,APP_w003_isaDisabled,APP,Application Layer,warning,w,003,isaDisabled,network,warning,false,,APP_w003 - isa Disabled,Tesla warning code in the Application Layer (APP) module related to isa disabled.,https://evfaultcode.com/en/tesla/alerts/app-w003/
app-w004,APP_w004,APP_w004_accDisabled,APP,Application Layer,warning,w,004,accDisabled,network,warning,true,ACC will not be available.,APP_w004 - acc Disabled,Tesla warning code in the Application Layer (APP) module. ACC will not be available.,https://evfaultcode.com/en/tesla/alerts/app-w004/
app-w005,APP_w005,APP_w005_fcwCancelled,APP,Application Layer,warning,w,005,fcwCancelled,network,warning,false,,APP_w005 - fcw Cancelled,Tesla warning code in the Application Layer (APP) module related to fcw cancelled.,https://evfaultcode.com/en/tesla/alerts/app-w005/
app-w006,APP_w006,APP_w006_aebCancelled,APP,Application Layer,warning,w,006,aebCancelled,network,warning,false,,APP_w006 - aeb Cancelled,Tesla warning code in the Application Layer (APP) module related to aeb cancelled.,https://evfaultcode.com/en/tesla/alerts/app-w006/
app-w007,APP_w007,APP_w007_ahlbDisabled,APP,Application Layer,warning,w,007,ahlbDisabled,network,warning,false,,APP_w007 - ahlb Disabled,Tesla warning code in the Application Layer (APP) module related to ahlb disabled.,https://evfaultcode.com/en/tesla/alerts/app-w007/
app-w008,APP_w008,APP_w008_parkDisabled,APP,Application Layer,warning,w,008,parkDisabled,network,warning,false,,APP_w008 - park Disabled,Tesla warning code in the Application Layer (APP) module related to park disabled.,https://evfaultcode.com/en/tesla/alerts/app-w008/
app-w009,APP_w009,APP_w009_aebFault,APP,Application Layer,warning,w,009,aebFault,network,warning,true,AEB is not available,APP_w009 - aeb Fault,Tesla warning code in the Application Layer (APP) module. AEB is not available,https://evfaultcode.com/en/tesla/alerts/app-w009/
app-w010,APP_w010,APP_w010_radcCalibIssue,APP,Application Layer,warning,w,010,radcCalibIssue,network,warning,true,On re-calibration,APP_w010 - radc Calib Issue,Tesla warning code in the Application Layer (APP) module. On re-calibration,https://evfaultcode.com/en/tesla/alerts/app-w010/
app-w011,APP_w011,APP_w011_scaEvent,APP,Application Layer,warning,w,011,scaEvent,network,warning,true,Five seconds post event SCA will actuate steering,APP_w011 - sca Event,Tesla warning code in the Application Layer (APP) module. Five seconds post event SCA will actuate steering,https://evfaultcode.com/en/tesla/alerts/app-w011/
app-w012,APP_w012,APP_w012_Cam_BootFailure,APP,Application Layer,warning,w,012,Cam_BootFailure,network,warning,false,,APP_w012 - Cam Boot Failure,Tesla warning code in the Application Layer (APP) module related to cam boot failure.,https://evfaultcode.com/en/tesla/alerts/app-w012/
app-w013,APP_w013,APP_w013_Cam_Watchdog,APP,Application Layer,warning,w,013,Cam_Watchdog,network,warning,false,,APP_w013 - Cam Watchdog,Tesla warning code in the Application Layer (APP) module related to cam watchdog.,https://evfaultcode.com/en/tesla/alerts/app-w013/
app-w014,APP_w014,APP_w014_swAssert,APP,Application Layer,warning,w,014,swAssert,network,warning,false,,APP_w014 - SW Assert,Tesla warning code in the Application Layer (APP) module related to sw assert.,https://evfaultcode.com/en/tesla/alerts/app-w014/
app-w015,APP_w015,APP_w015_Camera_Failsafes,APP,Application Layer,warning,w,015,Camera_Failsafes,network,warning,false,,APP_w015 - Camera Failsafes,Tesla warning code in the Application Layer (APP) module related to camera failsafes.,https://evfaultcode.com/en/tesla/alerts/app-w015/
app-w016,APP_w016,APP_w016_aeb_e_event,APP,Application Layer,warning,w,016,aeb_e_event,network,warning,false,,APP_w016 - aeb e event,Tesla warning code in the Application Layer (APP) module related to aeb e event.,https://evfaultcode.com/en/tesla/alerts/app-w016/
app-w017,APP_w017,APP_w017_Cam_Msg_MIA,APP,Application Layer,warning,w,017,Cam_Msg_MIA,network,warning,false,,APP_w017 - Cam Msg MIA,Tesla warning code in the Application Layer (APP) module related to cam msg mia.,https://evfaultcode.com/en/tesla/alerts/app-w017/
app-w018,APP_w018,APP_w018_ECU_Power_Issue,APP,Application Layer,warning,w,018,ECU_Power_Issue,network,warning,true,Depracted alert,APP_w018 - ECU Power Issue,Tesla warning code in the Application Layer (APP) module. Depracted alert,https://evfaultcode.com/en/tesla/alerts/app-w018/
app-w019,APP_w019,APP_w019_ECU_Stack_Overflow,APP,Application Layer,warning,w,019,ECU_Stack_Overflow,network,warning,false,,APP_w019 - ECU Stack Overflow,Tesla warning code in the Application Layer (APP) module related to ecu stack overflow.,https://evfaultcode.com/en/tesla/alerts/app-w019/
app-w020,APP_w020,APP_w020_ECU_checkstopError,APP,Application Layer,warning,w,020,ECU_checkstopError,network,warning,false,,APP_w020 - ECU checkstop Error,Tesla warning code in the Application Layer (APP) module related to ecu checkstop error.,https://evfaultcode.com/en/tesla/alerts/app-w020/
app-w021,APP_w021,APP_w021_ECU_Temperature_Issue,APP,Application Layer,warning,w,021,ECU_Temperature_Issue,network,warning,true,"Heater is in a faulted state (e.g. when an open circuit is detected) Autosteer not enabled through UI Enable Autosteer signal on can Driver seat belt Unbuckled in ACC Autopilot will slowdown vehicle Messages from Electronic Stability Program (ESP) ecu are missing on party bus One or more ESP messages on party bus are missing AP starts receiving ESP messages again Autopark is degraded or unavailable Any monitored sensor or ECU reports an error Clears after reboot or when sensors errors are cleared. Parking spots may not be presented to driver. Indicates Restraint control module (RCM) ECU is MIA RCM Status and/or SDM1 messages are missing Forward collision warning issued to alert driver of drivable space violation Current vehicle trajectory may intersect with critical drivable space violation Autopilot ecu is marked as benchtop ecu. It is not supposed to be in car. Narrow camera initialization failed Warns if APP fails to receive one or more CAN msgs from ADSP APP fails to receive one or more CAN msgs from ADSP APP starts receiving all CAN msgs from ADSP AP will use emergency speaker to play chimes like AP deactivation, TOI etc",APP_w021 - ECU Temperature Issue,"Tesla warning code in the Application Layer (APP) module. Heater is in a faulted state (e.g. when an open circuit is detected) Autosteer not enabled through UI Enable Autosteer signal on can Driver seat belt Unbuckled in ACC Autopilot will slowdown vehicle Messages from Electronic Stability Program (ESP) ecu are missing on party bus One or more ESP messages on party bus are missing AP starts receiving ESP messages again Autopark is degraded or unavailable Any monitored sensor or ECU reports an error Clears after reboot or when sensors errors are cleared. Parking spots may not be presented to driver. Indicates Restraint control module (RCM) ECU is MIA RCM Status and/or SDM1 messages are missing Forward collision warning issued to alert driver of drivable space violation Current vehicle trajectory may intersect with critical drivable space violation Autopilot ecu is marked as benchtop ecu. It is not supposed to be in car. Narrow camera initialization failed Warns if APP fails to receive one or more CAN msgs from ADSP APP fails to receive one or more CAN msgs from ADSP APP starts receiving all CAN msgs from ADSP AP will use emergency speaker to play chimes like AP deactivation, TOI etc",https://evfaultcode.com/en/tesla/alerts/app-w021/
app-w022,APP_w022,APP_w022_ECU_EEPROM_Failure,APP,Application Layer,warning,w,022,ECU_EEPROM_Failure,network,warning,false,,APP_w022 - ECU EEPROM Failure,Tesla warning code in the Application Layer (APP) module related to ecu eeprom failure.,https://evfaultcode.com/en/tesla/alerts/app-w022/
app-w023,APP_w023,APP_w023_ECU_Cam_Statemismatch,APP,Application Layer,warning,w,023,ECU_Cam_Statemismatch,network,warning,false,,APP_w023 - ECU Cam Statemismatch,Tesla warning code in the Application Layer (APP) module related to ecu cam statemismatch.,https://evfaultcode.com/en/tesla/alerts/app-w023/
app-w024,APP_w024,APP_w024_ECU_Watchdog_Reset,APP,Application Layer,warning,w,024,ECU_Watchdog_Reset,network,warning,false,,APP_w024 - ECU Watchdog Reset,Tesla warning code in the Application Layer (APP) module related to ecu watchdog reset.,https://evfaultcode.com/en/tesla/alerts/app-w024/
app-w025,APP_w025,APP_w025_LC_Steering_Override,APP,Application Layer,warning,w,025,LC_Steering_Override,network,warning,false,,APP_w025 - LC Steering Override,Tesla warning code in the Application Layer (APP) module related to lc steering override.,https://evfaultcode.com/en/tesla/alerts/app-w025/
app-w026,APP_w026,APP_w026_ECU_timingIssue,APP,Application Layer,warning,w,026,ECU_timingIssue,network,warning,false,,APP_w026 - ECU timing Issue,Tesla warning code in the Application Layer (APP) module related to ecu timing issue.,https://evfaultcode.com/en/tesla/alerts/app-w026/
app-w027,APP_w027,APP_w027_ECU_Reset_Fault,APP,Application Layer,warning,w,027,ECU_Reset_Fault,network,warning,false,,APP_w027 - ECU Reset Fault,Tesla warning code in the Application Layer (APP) module related to ecu reset fault.,https://evfaultcode.com/en/tesla/alerts/app-w027/
app-w028,APP_w028,APP_w028_spi_rx_error,APP,Application Layer,warning,w,028,spi_rx_error,network,warning,false,,APP_w028 - SPI RX error,Tesla warning code in the Application Layer (APP) module related to spi rx error.,https://evfaultcode.com/en/tesla/alerts/app-w028/
app-w029,APP_w029,APP_w029_spi_tx_error,APP,Application Layer,warning,w,029,spi_tx_error,network,warning,false,,APP_w029 - SPI TX error,Tesla warning code in the Application Layer (APP) module related to spi tx error.,https://evfaultcode.com/en/tesla/alerts/app-w029/
app-w030,APP_w030,APP_w030_Heater_Issue,APP,Application Layer,warning,w,030,Heater_Issue,network,warning,false,,APP_w030 - Heater Issue,Tesla warning code in the Application Layer (APP) module related to heater issue.,https://evfaultcode.com/en/tesla/alerts/app-w030/
app-w031,APP_w031,APP_w031_canRxError,APP,Application Layer,warning,w,031,canRxError,network,warning,true,Not cleared until reset,APP_w031 - CAN RX Error,Tesla warning code in the Application Layer (APP) module. Not cleared until reset,https://evfaultcode.com/en/tesla/alerts/app-w031/
app-w032,APP_w032,APP_w032_canTxError,APP,Application Layer,warning,w,032,canTxError,network,warning,false,,APP_w032 - CAN TX Error,Tesla warning code in the Application Layer (APP) module related to can tx error.,https://evfaultcode.com/en/tesla/alerts/app-w032/
app-w033,APP_w033,APP_w033_gtwMia,APP,Application Layer,warning,w,033,gtwMia,network,warning,false,,APP_w033 - gtw Mia,Tesla warning code in the Application Layer (APP) module related to gtw mia.,https://evfaultcode.com/en/tesla/alerts/app-w033/
app-w034,APP_w034,APP_w034_sccmMia,APP,Application Layer,warning,w,034,sccmMia,network,warning,false,,APP_w034 - sccm Mia,Tesla warning code in the Application Layer (APP) module related to sccm mia.,https://evfaultcode.com/en/tesla/alerts/app-w034/
app-w035,APP_w035,APP_w035_espMia,APP,Application Layer,warning,w,035,espMia,network,warning,false,,APP_w035 - esp Mia,Tesla warning code in the Application Layer (APP) module related to esp mia.,https://evfaultcode.com/en/tesla/alerts/app-w035/
app-w036,APP_w036,APP_w036_bdyMia,APP,Application Layer,warning,w,036,bdyMia,network,warning,false,,APP_w036 - bdy Mia,Tesla warning code in the Application Layer (APP) module related to bdy mia.,https://evfaultcode.com/en/tesla/alerts/app-w036/
app-w037,APP_w037,APP_w037_camTacIssue,APP,Application Layer,warning,w,037,camTacIssue,network,warning,false,,APP_w037 - cam Tac Issue,Tesla warning code in the Application Layer (APP) module related to cam tac issue.,https://evfaultcode.com/en/tesla/alerts/app-w037/
app-w038,APP_w038,APP_w038_camFailure,APP,Application Layer,warning,w,038,camFailure,network,warning,false,,APP_w038 - cam Failure,Tesla warning code in the Application Layer (APP) module related to cam failure.,https://evfaultcode.com/en/tesla/alerts/app-w038/
app-w039,APP_w039,APP_w039_sdm_rcm_Mia,APP,Application Layer,warning,w,039,sdm_rcm_Mia,network,warning,false,,APP_w039 - sdm rcm Mia,Tesla warning code in the Application Layer (APP) module related to sdm rcm mia.,https://evfaultcode.com/en/tesla/alerts/app-w039/
app-w040,APP_w040,APP_w040_autopilotAngleSaturated,APP,Application Layer,warning,w,040,autopilotAngleSaturated,network,warning,true,"Autosteer steering angle control is saturated, an audible chime is played Steering angle control requested by control algorithm is more then max permissible steering angle at that speed Should clear once AP is disengaged Autosteer is temporarily disabled Backup camera initialization failed Adaptive cruise control (ACC) is disabled ACC unavailable due to fault, radar blindness, or camera pitch, calbration or blockage issue. Will clear when ACC is available again.",APP_w040 - autopilot Angle Saturated,"Tesla warning code in the Application Layer (APP) module. Autosteer steering angle control is saturated, an audible chime is played Steering angle control requested by control algorithm is more then max permissible steering angle at that speed Should clear once AP is disengaged Autosteer is temporarily disabled Backup camera initialization failed Adaptive cruise control (ACC) is disabled ACC unavailable due to fault, radar blindness, or camera pitch, calbration or blockage issue. Will clear when ACC is available again.",https://evfaultcode.com/en/tesla/alerts/app-w040/
